 * Running on http://192.168.0.18:5000/ (Press CTRL+C to quit)
192.168.0.18 - - [10/Jan/2018 23:19:17] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:18] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:19] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:20] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:21] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:22] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:23] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:24] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:25] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:26] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:27] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:28] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:29] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:30] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:31] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:32] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:33] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:34] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:35] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:36] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:37] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:38] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:39] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:40] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:41] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:42] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:43] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:44] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:45] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:46] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:47] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:48] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:49] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:50] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:51] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:52] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:53] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:54] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:55] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:56] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:57] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:58] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:19:59] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:00] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:01] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:02] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:03] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:04] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:05] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:06] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:07] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:08] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:09] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:10] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:11] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:12] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:13] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:14] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:15] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:16] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:17] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:18] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:19] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:20] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:21] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:22] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:23] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:24] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:25] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:26] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:27] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:28] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:29] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:30] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:31] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:32] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:33] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:34] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:35] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:36] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:37] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:38] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:39] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:40] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:41] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:42] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:43] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:44] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:45] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:46] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:47] "GET /rawdata HTTP/1.1" 200 -
